Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id
2021-11-14 22:26:10,"???? Prof. (Dr.) D. Datta ????; MBBS*, MD* Anatomy",466639060,,-1,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ha ha ha ha ha #Sinovac #PfizerExposed ?? https://t.co/z6eVi0CXsl,,,.0,1459890402354360327
2021-11-13 22:09:17,Philip Ong,41976264,,-1,tl,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Sana ganun din sa BAKUNA...HINDI MANDATORY ang #Sinovac...#COVID19 #COVID19PH https://t.co/rmKcOKAYBV,,,.0,1459523765587431433
2021-11-12 06:08:22,Ranz fair thoughts,1019444915514720257,dzbbsamnielsen,329680016,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@dzbbsamnielsen @gmanewsbreaking @dzbb #sinovac na naman...iimVACkin na naman yan hanggang ma expired...bilin nila yung mas gusto ng tao at mas mabisa...mga tuta talaga ng CHINA ang admin na ito...✌✌✌??????,,,.0,1458919556655693843
2021-11-10 14:24:44,Albert C. Lim,253398780,,-1,tl,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","Syringes for Pfizer are in demand worldwide except in Dut’s Philippines which prefers #SinoVac for some shekels of silver. Hoy, babalu, tandaan mo ang sinabi sa iyo in Inday noong dinibdiban ka sa isang Dabaw event … ikaw ang unang ipapakulong. ?????? https://t.co/FZKqdlTr84",,,.0,1458319695535218690
2021-11-10 10:47:30,Claudine Jimenez Torno,1438811344485056517,,-1,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","First Dose Done ??
Thankyou  ate  @reginevalcasid
sa paghikayat na magpavaccine  
#Sinovac https://t.co/dmtihy7b3C",,,.0,1458265025592709123
2021-11-09 23:04:57,bella,140517029,,-1,tl,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gusto nung isa kong kaibigan na dalhin ang nanay nya dito sa UK. So tiningnan namin kagabi yung requirements para pagpunta dito. 

Mayrong list of approved vaccines, unfortunately hindi kasama sa list ang made in China. ??????

#Sinovac 
#Sinopharm",,,4.0,1458088223943573517
2021-11-09 16:07:28,Mar Uehara,1344343659173449728,,-1,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gapangluya ko

#bakuna
#sinovac",,,.0,1457983164081590273
2021-11-08 11:42:02,Angelica | READY,468885445,,-1,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",deserve kong kumain ng masarap hahah sakit ng second dose ?? !! #fullyvaccinated✨ #Sinovac https://t.co/U1eIL5Uyat,,,.0,1457553976568659970
2021-11-13 15:43:28,Robe Macayan,2165904198,,-1,tl,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1st dose done- pabakuna, 2nd dose - pabakalawa, wala ng 3rd dose- pabakatlo, charot????
#astrazeneca",,,.0,1459426672172617731
2021-11-12 08:12:10,meanne,1193104295031214080,,-1,tl,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1st dose done ✅
#AstraZeneca grabe pala side effect ??
Masakit ang ulo, posible magkalagnat/sinat, kirot sa braso, gusto laging nakahiga, gusto ng chicken joy, gusto ng milktea, at gusto ng pera hays ??",,,.0,1458950713682268163
